Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2002639,3051182,Vadu uzgalis 6.3*0.8mm (100 gab),2000000149677,Piece
2002640,3053170,Durvju atspere trauku mašīnai,2000000124889,Piece
2002641,3057231,Potenciometrs,2000000133843,Piece
2002642,3060609,Gaisa kameras vārsts 34*79mm,2000000115757,Piece
2002643,3090734,Ķīmijas padeves caurule D5*8mm,2000000131351,Meter
2002645,30Z0217,Drošinātājs 10A HRC,2000000129709,Piece
2002646,30Z0283,Kondensators 470R/50W/5%,2000000137988,Piece
2002647,30Z1340,Sprieguma filtrs 16A,2000000136547,Piece
2002648,30Z1419,Termorezistors/mikroviļņu,2000000129686,Piece
2002649,30Z1446,Kondensators 2UF UL,2000000147222,Piece
2002650,30Z5008,Diode-taisngriezis HT Eicon3,2000000147239,Piece
2002651,3102225,Sadales plāksnīte,2000000029108,Piece
2002652,3102459,Mazgājamā līdzekļa sūkņa šļauciņa,2000000025926,Piece
2002653,3102598,Skalošanas līdzekļa sūknis DB,2000000065601,Piece
2002654,311112-07,Bukse,2000005002823,Piece
2002655,3115PS,Elektro dzinējs 80*80*38,2000000091754,Piece
2002656,3120044,Solenoīda pieslēguma skava,2000000149684,Piece
2002657,3120363,Solenoida vārsts 230V D.10mm,2000000104249,Piece
2002658,3120550,Solenoida vārsts 240V D.11.5mm,2000000106861,Piece
2002659,312153A,Filtra kārtridžs Tana T-5,2000000121970,Piece
2002660,3122/13,Kontroles ventilis ODS 1 5/8 42mm,2000005002830,Piece
2002661,3122255,Gumijas blīve 04625 EPDM (5 Gab),2000000166391,Piece
2002662,3122359,Boilera/sūkņa savienojuma caurule,2000000103167,Piece
2002663,3122632,Ass blīvslēgs D13 5.5mm,2000000156637,Piece
2002664,3122745,Mazgāšanas sūknis Metos,2000000096278,Piece
2002665,3122850,Sūkņa remkomplekts,2000000129839,Piece
2002666,3122876,Sūkņa LGB ZF400SX korpus,2000000163581,Piece
2002667,3123097,Ventilātora kronšteins CF27,2000000099187,Piece
2002668,315618,Swibo Santoku nazis 18cm,2000000104102,Piece
2002669,316431,Bukse grilla stikla durvīm Ubert 6*12*6,2000000069760,Piece
2002670,3185984,Reste 490*485mm,2000000138183,Piece
2002671,3186013,Gumijas blīve 06187 EPDM D.58mm,2000000123332,Piece
2002672,3186167,Mazgāšanas rokas kronšteina blīvgumija,2000000115740,Piece
2002673,3186231,Blīve ūdens trubiņai,2000000143781,Piece
2002674,3186527,Blīvgumija Eloma T10-11 (EL0742376) vecā krāsns,2000000098524,Piece
2002675,3186775,O-ring 03150 red silicone La San Marco,2000000137742,Piece
2002676,31Z3093,Skrūve M3X25mm PN,2000000138015,Piece
2002677,31Z4031,Katalizatora uzgriežņi,2000000130477,Piece
2002678,32/A-133-1,"KT LM32A spriegotājs, taisns",2000000014586,Piece
2002682,3201NR1TYP1,CEE ligzda 16A5P 6H400V IP44,2000000060965,Piece
2002683,3202NR13ATYP13A,"CEE spraudnis, IP44 16A 5P 400V",2000000049687,Piece
2002684,3202NR248TYP248,"CEE spraudnis, 16A3P 6H230V IP44",2000000045023,Piece
2002685,32097001,Nozarkārba 75*75*42Mm IP55,2000005002274,Piece
2002686,3212005,Zobrats Scotsman reduktoram,2000000129082,Piece
2002687,3221052,Cokols lampas patronai D57mm,2000000142159,Piece
2002688,3221059,Krāsns lampa E27 40W 230V,2000000142135,Piece
2002689,3221095,Indikācijas lampa 230V (oranža) (3221095),2000000098579,Piece
2002690,3221105,Halogēna lampa G4 20W 12V Retigo,2000000157559,Piece
2002691,3221140,Cepeškrāsn spuldze E14 40W 230V,2000000154466,Piece
2002692,3221250,Halogēna lampa G4 10W 12V krāsnīm Eloma/Metos,2000000111889,Piece
2002693,3221277,Lampu patrona R7S,2000000113180,Piece
2002694,3221318,Lampu patrona E27,2000000148342,Piece
2002695,3221413,Blīve aizsargstiklam SCC krāsnij,2000000103143,Piece
2002696,3221422,Apgaismojuma iekšējā blīve,2000000135311,Piece
